B-M3.5,ABSENTE
B-N1.1,ABSENTE
B-N1.2,ABSENTE
B-N1.3,ABSENTE
B-N1.4,ABSENTE
B-N2.1,ABSENTE
B-N2.2,ABSENTE
B-N2.3,ABSENTE
B-N2.4,ABSENTE
B-N3.1,ABSENTE
B-N3.2,ABSENTE
B-N3.3,ABSENTE
B-N3.4,ABSENTE
R-A1.1,ABSENTE
R-A1.2,ABSENTE
R-A1.3,ABSENTE
R-A1.4,ABSENTE
R-A1.5,ABSENTE
R-A1.6,ABSENTE
R-B1.1,ABSENTE
R-B1.2,ABSENTE
R-B1.3,ABSENTE
R-B1.4,ABSENTE
R-B1.5,ABSENTE
R-B1.6,ABSENTE
R-C1.1,ABSENTE
R-C1.2,ABSENTE
R-C1.3,ABSENTE
R-C1.4,ABSENTE
R-C1.5,ABSENTE
R-D1.1,ABSENTE
R-D1.2,ABSENTE
R-D1.3,ABSENTE
R-D1.4,ABSENTE
R-D1.5,ABSENTE
R-E1.1,ABSENTE
R-E1.2,ABSENTE
R-E1.3,ABSENTE
R-E1.4,ABSENTE
R-E1.5,ABSENTE
R-F1.1,ABSENTE
R-F1.2,ABSENTE
R-F1.3,ABSENTE
R-F1.4,ABSENTE
R-F1.5,ABSENTE
R-F1.6,ABSENTE
R-G1.1,ABSENTE
R-G1.2,ABSENTE
R-G1.3,ABSENTE
R-G1.4,ABSENTE
R-G1.5,ABSENTE
R-G1.6,ABSENTE
R-H1.1,ABSENTE
R-H1.2,ABSENTE
R-H1.3,ABSENTE
R-H1.4,ABSENTE
R-H1.5,ABSENTE
R-I1.1,ABSENTE
R-I1.2,ABSENTE
R-I1.3,ABSENTE
R-I1.4,ABSENTE
R-J1.1,ABSENTE
R-J1.2,ABSENTE
R-J1.3,ABSENTE
R-J1.4,ABSENTE
R-K1.1,ABSENTE
R-K1.2,ABSENTE
R-K1.3,ABSENTE
R-K1.4,ABSENTE
R-L1.1,ABSENTE
R-L1.2,ABSENTE
R-L1.3,ABSENTE
R-L1.4,ABSENTE
R-M1.1,ABSENTE
R-M1.2,ABSENTE
R-M1.3,ABSENTE
