WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;artefact:FRB.FOBJ2.SCAL.2022;dimensions sont vides 
WARNING;artefact:FRB.FOBJ2.SCAL.2160;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ2.SCAL.2016;l'année de production est vide
WARNING;artefact:FRB.FOBJ2.SCAL.2016;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ2.SCAL.2019;l'année de production est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.2017;l'année de production est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.2018;l'année de production est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.2007;l'année de production est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.2023;l'année de production est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.2155;l'année de production est vide
WARNING;artefact:FRB.FOBJ2.SCAL.2155;producteur est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.2157;l'année de production est vide
WARNING;artefact:FRB.FOBJ2.SCAL.2157;producteur est vide
WARNING;artefact:FRB.FOBJ2.SCAL.2159;producteur est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.2021;l'année de production est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.2212;l'année de production est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.1062;l'année de production est vide
WARNING;artefact:FRB.FOBJ2.SCAL.1062;producteur est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.2211;l'année de production est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.2208;l'année de production est vide
WARNING;Artefact:FRB.FOBJ2.SCAL.22089;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3;libelle est vide
WARNING;Artefact:FRB.FOBJ3;date d'entrée est vide
WARNING;Artefact:FRB.FOBJ3;l'année de production est vide
WARNING;artefact:FRB.FOBJ3;localisation est vide
WARNING;artefact:FRB.FOBJ3;producteur est vide
WARNING;artefact:FRB.FOBJ3;etat est vide
WARNING;artefact:FRB.FOBJ3;la collection est vide
